,Date,Open,Close,Volume,ma50,ma150,ma200,ma50volume
0,2002-07-01,31.98,31.280001000000002,112855.0,,,,
1,2002-07-02,31.6,31.440001000000002,151425.0,,,,
2,2002-07-03,31.4,31.83,161135.0,,,,
3,2002-07-04,32.0,32.09,125250.0,,,,
4,2002-07-05,32.099998,32.470001,245415.0,,,,
5,2002-07-08,32.799999,32.450001,135815.0,,,,
6,2002-07-09,32.599998,32.669998,36755.0,,,,
7,2002-07-10,31.02,32.310001,32990.0,,,,
8,2002-07-11,32.27,32.040001000000004,21575.0,,,,
9,2002-07-12,31.0,32.299999,19520.0,,,,
10,2002-07-15,32.669998,32.369999,14855.0,,,,
11,2002-07-16,32.75,32.59,24380.0,,,,
12,2002-07-17,32.0,32.549999,10275.0,,,,
13,2002-07-18,31.799999,30.450001,37435.0,,,,
14,2002-07-19,30.83,29.190001000000002,58715.0,,,,
15,2002-07-22,28.0,27.030001000000002,206435.0,,,,
16,2002-07-23,26.58,25.120001000000002,323080.0,,,,
17,2002-07-24,25.219998999999998,25.530001000000002,144915.0,,,,
18,2002-07-25,27.4,25.299999,113515.0,,,,
19,2002-07-26,25.1,25.17,106795.0,,,,
20,2002-07-29,25.59,25.940001000000002,105250.0,,,,
21,2002-07-30,26.09,26.030001000000002,93360.0,,,,
22,2002-07-31,26.290001,25.82,41370.0,,,,
23,2002-08-01,25.809998999999998,25.91,20870.0,,,,
24,2002-08-02,25.6,25.48,21180.0,,,,
25,2002-08-05,25.799999,24.9,64640.0,,,,
26,2002-08-06,24.799999,24.99,66420.0,,,,
27,2002-08-07,25.75,24.98,40275.0,,,,
28,2002-08-08,25.09,24.610001,26620.0,,,,
29,2002-08-09,24.219998999999998,24.559998999999998,22490.0,,,,
30,2002-08-12,24.24,24.379998999999998,13340.0,,,,
31,2002-08-13,24.43,24.5,10100.0,,,,
32,2002-08-14,24.799999,24.59,16375.0,,,,
34,2002-08-16,24.780001000000002,24.92,5960.0,,,,
35,2002-08-19,25.0,24.58,12630.0,,,,
36,2002-08-20,24.6,24.09,39425.0,,,,
37,2002-08-21,24.68,24.33,12230.0,,,,
38,2002-08-22,24.700001,24.5,8345.0,,,,
39,2002-08-23,24.6,24.700001,11125.0,,,,
40,2002-08-26,24.98,24.67,22250.0,,,,
41,2002-08-27,24.959999,24.52,12050.0,,,,
42,2002-08-28,24.799999,24.48,15390.0,,,,
43,2002-08-29,24.209999,24.370001000000002,12355.0,,,,
44,2002-08-30,24.200001,24.26,16400.0,,,,
45,2002-09-02,24.75,24.59,3520.0,,,,
46,2002-09-03,24.59,24.219998999999998,18285.0,,,,
47,2002-09-04,24.01,24.299999,6980.0,,,,
48,2002-09-05,24.0,23.99,64800.0,,,,
49,2002-09-06,24.0,23.809998999999998,21175.0,,,,
50,2002-09-09,23.700001,23.370001000000002,12500.0,26.93140012,,,58416.9
52,2002-09-11,23.6,23.41,11450.0,26.7740001,,,56388.8
53,2002-09-12,23.290001,23.27,22515.0,26.610600079999998,,,53810.6
54,2002-09-13,23.4,22.969998999999998,99660.0,26.43340006,,,52581.1
55,2002-09-16,22.799999,22.27,117150.0,26.23700006,,,52419.1
56,2002-09-17,22.200001,22.299999,30405.0,26.033600020000005,,,48118.9
57,2002-09-18,22.219998999999998,22.09,40725.0,25.826400000000003,,,46217.1
58,2002-09-19,21.629998999999998,21.059998999999998,56480.0,25.594200020000002,,,46611.6
59,2002-09-20,21.0,21.700001,18480.0,25.38200002,,,46321.4
60,2002-09-23,22.0,21.799999,18285.0,25.17719998,,,46255.6
61,2002-09-24,21.92,20.940001000000002,31855.0,24.950000019999997,,,46502.3
62,2002-09-25,20.799999,21.719998999999998,12965.0,24.737000019999996,,,46464.5
63,2002-09-26,22.17,21.73,24560.0,24.519800019999998,,,46468.1
64,2002-09-27,22.190001000000002,22.15,19360.0,24.311800039999998,,,46649.8
65,2002-09-30,22.0,21.59,32955.0,24.134600019999997,,,46560.2
66,2002-10-01,21.799999,21.35,10690.0,23.9778,,,45599.7
68,2002-10-03,21.200001,21.57,9660.0,23.868599979999995,,,41664.2
69,2002-10-04,21.75,21.57,5030.0,23.797599959999992,,,35303.2
70,2002-10-07,21.6,21.83,4955.0,23.72359993999999,,,32504.0
71,2002-10-08,21.959999,21.459999,18135.0,23.646799939999987,,,30596.4
72,2002-10-09,21.889999,21.370001000000002,8170.0,23.570799959999984,,,28623.9
73,2002-10-10,21.34,21.33,7315.0,23.478599939999985,,,26665.2
74,2002-10-11,21.5,21.65,1800.0,23.390999919999985,,,24834.0
75,2002-10-14,21.9,21.68,10500.0,23.30819991999999,,,24216.6
77,2002-10-16,21.700001,21.209999,9955.0,23.214199899999986,,,23998.3
78,2002-10-17,21.4,21.549999,15910.0,23.135599879999987,,,23892.9
79,2002-10-18,21.299999,21.16,14600.0,23.060799879999987,,,22892.1
80,2002-10-21,21.24,21.6,20515.0,22.992999879999985,,,21974.0
81,2002-10-22,21.299999,21.049999,9830.0,22.914399859999985,,,21365.1
82,2002-10-23,21.049999,21.33,4265.0,22.848799839999984,,,20918.0
83,2002-10-24,21.780001000000002,21.16,9120.0,22.780799859999984,,,20650.6
84,2002-10-25,21.0,20.959999,8370.0,22.712399859999984,,,20551.2
85,2002-10-28,20.799999,20.610001,46260.0,22.634599879999982,,,21274.4
86,2002-10-29,20.98,20.450001,38740.0,22.55179989999998,,,21721.7
87,2002-10-30,20.620001000000002,20.360001,18245.0,22.460599919999982,,,21967.4
88,2002-10-31,20.41,20.190001000000002,35025.0,22.372799939999982,,,22415.3
89,2002-11-01,20.200001,20.18,36135.0,22.294599939999983,,,22349.5
90,2002-11-04,20.809998999999998,20.18,30300.0,22.21159993999999,,,22710.9
91,2002-11-05,20.030001000000002,20.23,4855.0,22.12619993999999,,,22641.1
93,2002-11-07,20.4,20.4,12320.0,22.040199919999992,,,22665.0
94,2002-11-08,20.02,20.15,9925.0,21.94979991999999,,,22418.5
